backtest_name,data_name,date,cov_types,resample_period,lambda,lookbacks,annual_var_constraints,phi,gerber_1t_threshold,gerber_2t_thresholds,alpha_2t,solver
"ewma_1t_gerber2021_9assets_lmbda0.01_1tT0.5_2tT[0.5, 1]_alpha2T0.5",gerber2021_9assets,2023-08-29,"['1-t gerber', 'ewma_gerber_1t', 'ewma_gerber_1t_alt']",M,0.01,"[6, 9, 12, 18, 24]","[0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4]",0.001,0.5,"[0.5, 1]",0.5,ECOS
"ewma_1t_gerber2021_9assets_lmbda0.025_1tT0.5_2tT[0.5, 1]_alpha2T0.5",gerber2021_9assets,2023-08-29,"['1-t gerber', 'ewma_gerber_1t', 'ewma_gerber_1t_alt']",M,0.025,"[6, 9, 12, 18, 24]","[0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4]",0.001,0.5,"[0.5, 1]",0.5,ECOS
"ewma_1t_gerber2021_9assets_lmbda0.05_1tT0.5_2tT[0.5, 1]_alpha2T0.5",gerber2021_9assets,2023-08-29,"['1-t gerber', 'ewma_gerber_1t', 'ewma_gerber_1t_alt']",M,0.05,"[6, 9, 12, 18, 24]","[0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4]",0.001,0.5,"[0.5, 1]",0.5,ECOS
"ewma_1t_gerber2021_9assets_lmbda0.05_1tT0.5_2tT[0.5, 1]_alpha2T0.5",gerber2021_9assets,2023-08-29,"['1-t gerber', 'ewma_gerber_1t', 'ewma_gerber_1t_alt']",M,0.05,"[6, 9, 12, 18, 24]","[0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4]",0.001,0.5,"[0.5, 1]",0.5,ECOS
"ewma_1t_gerber2021_9assets_lmbda0.075_1tT0.5_2tT[0.5, 1]_alpha2T0.5",gerber2021_9assets,2023-08-29,"['1-t gerber', 'ewma_gerber_1t', 'ewma_gerber_1t_alt']",M,0.075,"[6, 9, 12, 18, 24]","[0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4]",0.001,0.5,"[0.5, 1]",0.5,ECOS
"ewma_1t_gerber2021_9assets_lmbda0.1_1tT0.5_2tT[0.5, 1]_alpha2T0.5",gerber2021_9assets,2023-08-29,"['1-t gerber', 'ewma_gerber_1t', 'ewma_gerber_1t_alt']",M,0.1,"[6, 9, 12, 18, 24]","[0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4]",0.001,0.5,"[0.5, 1]",0.5,ECOS
"ewma_1t_gerber2021_9assets_lmbda0.2_1tT0.5_2tT[0.5, 1]_alpha2T0.5",gerber2021_9assets,2023-08-29,"['1-t gerber', 'ewma_gerber_1t', 'ewma_gerber_1t_alt']",M,0.2,"[6, 9, 12, 18, 24]","[0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4]",0.001,0.5,"[0.5, 1]",0.5,ECOS
"ewma_1t_gerber2021_9assets_lmbda0.3_1tT0.5_2tT[0.5, 1]_alpha2T0.5",gerber2021_9assets,2023-08-29,"['1-t gerber', 'ewma_gerber_1t', 'ewma_gerber_1t_alt']",M,0.3,"[6, 9, 12, 18, 24]","[0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4]",0.001,0.5,"[0.5, 1]",0.5,ECOS
"ewma_1t_snp22_snp_22stocks_lmbda0.01_1tT0.5_2tT[0.5, 1]_alpha2T0.5",snp_22stocks,2023-08-31,"['1-t gerber', 'ewma_gerber_1t', 'ewma_gerber_1t_alt']",M,0.01,"[6, 9, 12, 18, 24]","[0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4]",0.001,0.5,"[0.5, 1]",0.5,ECOS
"ewma_1t_snp22_snp_22stocks_lmbda0.025_1tT0.5_2tT[0.5, 1]_alpha2T0.5",snp_22stocks,2023-08-31,"['1-t gerber', 'ewma_gerber_1t', 'ewma_gerber_1t_alt']",M,0.025,"[6, 9, 12, 18, 24]","[0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4]",0.001,0.5,"[0.5, 1]",0.5,ECOS
